Method,Client,Task,# Experts,% Param,Final Accuracy (%),Final Loss,History path
FedLEASE w/o adaptive top-M,3,QNLI,4,,87.99999952316284,0.45919403433799744,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top2_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLEASE w/o adaptive top-M,4,QNLI,4,,87.99999952316284,0.47644394636154175,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top2_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLEASE w/o adaptive top-M,5,QNLI,4,,87.00000047683716,0.48629820346832275,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top2_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLEASE w/o adaptive top-M,6,MRPC,4,,82.99999833106995,0.5517092347145081,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top2_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLEASE w/o adaptive top-M,7,MRPC,4,,87.00000047683716,0.4493029713630676,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top2_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLEASE w/o adaptive top-M,8,MRPC,4,,86.50000095367432,0.46714892983436584,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top2_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLEASE w/o adaptive top-M,9,QQP,4,,81.99999928474426,0.6311498284339905,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top2_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLEASE w/o adaptive top-M,10,QQP,4,,81.99999928474426,0.5955657362937927,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top2_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLEASE w/o adaptive top-M,11,QQP,4,,86.00000143051147,0.5484499931335449,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top2_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLEASE (Ours),0,SST-2,5,,94.49999928474426,0.2877362370491028,/content/FedLEASE_ref/runs/fedlease_12clients_lr3e4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLEASE (Ours),1,SST-2,5,,92.5000011920929,0.42022544145584106,/content/FedLEASE_ref/runs/fedlease_12clients_lr3e4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLEASE (Ours),2,SST-2,5,,93.50000023841858,0.4000549614429474,/content/FedLEASE_ref/runs/fedlease_12clients_lr3e4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLEASE (Ours),3,QNLI,5,,88.49999904632568,0.45451486110687256,/content/FedLEASE_ref/runs/fedlease_12clients_lr3e4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLEASE (Ours),4,QNLI,5,,86.50000095367432,0.5741963982582092,/content/FedLEASE_ref/runs/fedlease_12clients_lr3e4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLEASE (Ours),5,QNLI,5,,87.5,0.5102162957191467,/content/FedLEASE_ref/runs/fedlease_12clients_lr3e4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLEASE (Ours),6,MRPC,5,,87.00000047683716,0.4347577691078186,/content/FedLEASE_ref/runs/fedlease_12clients_lr3e4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLEASE (Ours),7,MRPC,5,,83.49999785423279,0.5252484679222107,/content/FedLEASE_ref/runs/fedlease_12clients_lr3e4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
